path	text	start	end	type	graphemes
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/speaker_695-104630-1.wav	ông viết rất nhiều thể loại trong đó có những bài đã quen thuộc với công chúng yêu âm nhạc	0.0	5.46		ô ng | v iế t | r ấ t | nh iều | th ể | l oại | tr o ng | đ ó | c ó | nh ữ ng | b ài | đ ã | qu e n | th uộ c | v ới | c ô ng | ch ú ng | yêu | â m | nh ạ c
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa3_Jan21_Apr24_cleaned_utt_0000003550-1.wav	và số lượng lô đất đấu một lần sẽ lớn hơn năm hai nghìn không trăm mười tám	0.0	3.6		v à | s ố | l ượ ng | l ô | đ ấ t | đ ấu | m ộ t | l ầ n | s ẽ | l ớ n | h ơ n | n ă m | h ai | ngh ì n | kh ô ng | tr ă m | m ười | t á m
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set002_V0.1_001356.wav	những nhà quản lý giáo dục năng động trách nhiệm trong tương lai của ngành 	0.0	4.584		nh ữ ng | nh à | qu ả n | l ý | gi áo | d ụ c | n ă ng | đ ộ ng | tr á ch | nh iệ m | tr o ng | t ươ ng | l ai | c ủa | ng à nh
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/speaker_153-004943-1.wav	phạm ngọc thạch nói rằng việt minh muốn khích cho anh pháp tiến hành đàn áp gây nhiều thương vong để thế giới chú ý đến tình cảnh của việt nam	0.0	8.448		ph ạ m | ng ọ c | th ạ ch | n ói | r ằ ng | v iệ t | m i nh | m uố n | kh í ch | ch o | a nh | ph á p | t iế n | h à nh | đ à n | á p | g ây | nh iều | th ươ ng | v o ng | đ ể | th ế | gi ới | ch ú | ý | đ ế n | t ì nh | c ả nh | c ủa | v iệ t | n a m
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/speaker_899_121798-1.wav	điều này khiến bạn cảm thấy bị vùi dập	0.0	2.39		đ iều | n ày | kh iế n | b ạ n | c ả m | th ấy | b ị | v ùi | d ậ p
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa2_Jan4_Feb29_cleaned_utt_0000099986-1.wav	phản đối để đấu tranh cho môi trường làm rõ nguyên nhân gây ra cái chết mà mà chính quyền từ hai tháng hơn một tháng này đã không có câu trả lời thỏa đáng	0.0	11.71		ph ả n | đ ối | đ ể | đ ấu | tr a nh | ch o | m ôi | tr ườ ng | l à m | r õ | ng uyê n | nh â n | g ây | r a | c ái | ch ế t | m à | m à | ch í nh | qu yề n | t ừ | h ai | th á ng | h ơ n | m ộ t | th á ng | n ày | đ ã | kh ô ng | c ó | c âu | tr ả | l ời | th ỏa | đ á ng
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa3_1_150h_15Jan2020_cleaned_utt_0000043698-1.wav	đổi sang thực hiện hóa đơn điện tử về những lợi ích thiết thực mà doanh nghiệp được hưởng khi triển khai hóa đơn điện tử	0.0	5.78		đ ổi | s a ng | th ự c | h iệ n | h óa | đ ơ n | đ iệ n | t ử | v ề | nh ữ ng | l ợi | í ch | th iế t | th ự c | m à | d oa nh | ngh iệ p | đ ượ c | h ưở ng | kh i | tr iể n | kh ai | h óa | đ ơ n | đ iệ n | t ử
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vivos/train/waves/VIVOSSPK07/VIVOSSPK07_R198.wav	do rối loạn khớp thái dương hàm	0.0	3.78125		d o | r ối | l ọa n | kh ớ p | th ái | d ươ ng | h à m
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000120157-1.wav	người ta biết bầu trời một cách tự nhiên	0.0	3.17		ng ười | t a | b iế t | b ầu | tr ời | m ộ t | c á ch | t ự | nh iê n
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set001_V0.1_010604.wav	eo thon tiêu chuẩn vẻ đẹp bất biến	0.0	3.768		eo | th o n | t iêu | ch uẩ n | v ẻ | đ ẹ p | b ấ t | b iế n
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/speaker_710-103365-1.wav	tuy chỉ sống gần gũi với quê nhà khoảng mười năm nhưng tấm lòng ông luôn hướng về tổ quốc	0.0	4.8973125		t uy | ch ỉ | s ố ng | g ầ n | g ũi | v ới | qu ê | nh à | kh ỏa ng | m ười | n ă m | nh ư ng | t ấ m | l ò ng | ô ng | l uô n | h ướ ng | v ề | t ổ | qu ố c
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set001_V0.1_001714.wav	trùm ma túy trung quốc trốn vào tù	0.0	5.232		tr ù m | m a | t úy | tr u ng | qu ố c | tr ố n | v ào | t ù
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa3_1_150h_15Jan2020_cleaned_utt_0000016148-1.wav	có thể nói tới thời điểm này sau bốn năm tham gia đóng mới tàu lớn để đánh bắt xa bờ có rất nhiều chủ tàu đang phải điêu đứng vì chậm trả nợ với ngân hàng mà lý do cơ bản theo các chủ tàu	0.0	11.55		c ó | th ể | n ói | t ới | th ời | đ iể m | n ày | s au | b ố n | n ă m | th a m | gi a | đ ó ng | m ới | t àu | l ớ n | đ ể | đ á nh | b ắ t | x a | b ờ | c ó | r ấ t | nh iều | ch ủ | t àu | đ a ng | ph ải | đ iêu | đ ứ ng | v ì | ch ậ m | tr ả | n ợ | v ới | ng â n | h à ng | m à | l ý | d o | c ơ | b ả n | th eo | c á c | ch ủ | t àu
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa2_Jan4_Feb29_cleaned_utt_0000048591-2.wav	luôn quan tâm lãnh đạo chỉ đạo ban hành nhiều chủ trương chính sách đề ra nhiều giải pháp thiết thực hiệu quả để khuyến khích phát triển doanh nghiệp cải thiện môi trường đầu tư kinh doanh đẩy mạnh cải cách hành chính tăng cường ứng dụng công nghệ thông tin	0.0	17.27		l uô n | qu a n | t â m | l ã nh | đ ạo | ch ỉ | đ ạo | b a n | h à nh | nh iều | ch ủ | tr ươ ng | ch í nh | s á ch | đ ề | r a | nh iều | gi ải | ph á p | th iế t | th ự c | h iệu | qu ả | đ ể | kh uyế n | kh í ch | ph á t | tr iể n | d oa nh | ngh iệ p | c ải | th iệ n | m ôi | tr ườ ng | đ ầu | t ư | k i nh | d oa nh | đ ẩy | m ạ nh | c ải | c á ch | h à nh | ch í nh | t ă ng | c ườ ng | ứ ng | d ụ ng | c ô ng | ngh ệ | th ô ng | t i n
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set001_V0.1_014034.wav	đúng như thắng nói quả là đặt ít mà ăn được rất nhiều	0.0	4.296		đ ú ng | nh ư | th ắ ng | n ói | qu ả | l à | đ ặ t | í t | m à | ă n | đ ượ c | r ấ t | nh iều
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vivos/train/waves/VIVOSSPK29/VIVOSSPK29_189.wav	lẽ dĩ nhiên cái thị xã này là hạt nhân bên cạnh hàng chục cây số đồi núi	0.0	5.78125		l ẽ | d ĩ | nh iê n | c ái | th ị | x ã | n ày | l à | h ạ t | nh â n | b ê n | c ạ nh | h à ng | ch ụ c | c ây | s ố | đ ồi | n úi
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set001_V0.1_013110.wav	không cám ơn tôi không nên uống thêm nữa	0.0	3.984		kh ô ng | c á m | ơ n | t ôi | kh ô ng | n ê n | uố ng | th ê m | n ữa
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set001_V0.1_000735.wav	cái nào tiện lợi nhất để đi đến nơi này bằng xe buýt hay xe điện	0.0	3.456		c ái | n ào | t iệ n | l ợi | nh ấ t | đ ể | đ i | đ ế n | n ơi | n ày | b ằ ng | x e | b úy t | h ay | x e | đ iệ n
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/vin_keyword_set/vlsp2020_train_set_02/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000017379-1.wav	chỉ với chiếc điện thoại thông minh bạn hoàn toàn có thể học môn sinh học về giải phẫu cơ thể người một cách	0.0	4.46		ch ỉ | v ới | ch iế c | đ iệ n | th oại | th ô ng | m i nh | b ạ n | h òa n | t òa n | c ó | th ể | h ọ c | m ô n | s i nh | h ọ c | v ề | gi ải | ph ẫu | c ơ | th ể | ng ười | m ộ t | c á ch
/workspace/data/voice_recognition/keyword_detection/data_public_s2t_new/fpt_public_dataset/wav/FPTOpenSpeechData_Set002_V0.1_005320.wav	khi chị và anh hiệp quyết định li hôn chị thấy dư luận xung quanh thế nào 	0.0	5.064		kh i | ch ị | v à | a nh | h iệ p | qu yế t | đ ị nh | l i | h ô n | ch ị | th ấy | d ư | l uậ n | x u ng | qu a nh | th ế | n ào
