path	text	graphemes
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R001.wav	KHÁCH SẠN	kh á ch | s ạ n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R002.wav	CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP	ch ỉ | b ằ ng | c á ch | l uô n | n ỗ | l ự c | th ì | c uối | c ù ng | b ạ n | m ới | đ ượ c | đ ề n | đ á p
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R003.wav	TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN	tr o ng | s ố | c á c | qu ố c | gi a | c ô ng | ngh iệ p | ph á t | tr iể n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R004.wav	ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU	a nh | đ ã | nh ì n | th ấy | tr o ng | nh ữ ng | l ải | nh ải | d ô ng | d ài | c ủa | nh u
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R005.wav	KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN	kh ủ ng | h ỏa ng | m ôi | tr ườ ng | c ầ n | đ ượ c | ng ă n | ch ặ n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R006.wav	TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO	tr ô ng | th ấy | t àu | c á | đ ằ ng | x a | a nh | đ ã | ấ n | c òi | c ả nh | b áo
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R007.wav	MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC	m ấy | s ào | r uộ ng | c ủa | gi a | đ ì nh | ô ng | đ à nh | b ỏ | h oa ng | ch o | c ỏ | m ọ c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R008.wav	CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT	c ó | đ ê m | g ặ p | ph ải | h eo | n ọ c | n ó | r ượ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R009.wav	CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU	c á c | b à n | h ọ c | nh ỏ | h ằ ng | ng ày | n ay | tr ở | th à nh | b à n | th ờ | c ủa | c á c | ch áu
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R010.wav	CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE	ch a | m ẹ | t ôi | th ườ ng | ch ì | ch iế t | nh au | b ằ ng | nh ữ ng | l ời | l ẽ | kh ó | ngh e
